Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
LATE_2022-08-11_0600,08-11-2022,08-11-2022,Operational Capacity,06:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0600,08-11-2022,08-11-2022,Operational Capacity,06:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0700,08-11-2022,08-11-2022,Operational Capacity,07:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0700,08-11-2022,08-11-2022,Operational Capacity,07:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0800,08-11-2022,08-11-2022,Operational Capacity,08:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0800,08-11-2022,08-11-2022,Operational Capacity,08:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0900,08-11-2022,08-11-2022,Operational Capacity,09:00,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
LATE_2022-08-11_0900,08-11-2022,08-11-2022,Operational Capacity,09:00,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
TIMELY_2022-08-10_1455,08-10-2022,08-11-2022,Operational Capacity,14:55,09:00,95001,TGP Glancy Fork,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
TIMELY_2022-08-10_1455,08-10-2022,08-11-2022,Operational Capacity,14:55,09:00,95002,Mark West - Langley Processing,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"230,420","230,420","58,500","171,920",BSP,968195714
